Sr.No,Product Name,Prices,Image ulrs,ratings
35,"
            EGate i9 Pro-Max Full HD 1080p Modulated at 720p Base | 3300 Lumen (330 ANSI ) with 150 ""(3.8 m) Large Display LED Projector | VGA,AV,HDMI,SD Card,USB, Audio Out Connectivity | (E03i31-White)
        ","₹6,499","https://images-eu.ssl-images-amazon.com/images/I/41SHEZ110VL._AC._SR180,230.jpg",114
36,"
            boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)
        ","₹1,299","https://images-eu.ssl-images-amazon.com/images/I/21uXmiH98wL._AC._SR180,230.jpg","1,409"
37,"
            Flix (Beetel) Usb To Type C Pvc Data Sync & 2A Smartphone Fast Charging Cable, Made In India, 480Mbps Data Sync, Tough Cable, 1 Meter Long, Black, Xcd-C12
        ","₹15,999","https://images-eu.ssl-images-amazon.com/images/I/31GWBMAuUfL._AC._SR180,230.jpg","163,258"
38,"
            LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray)
        ",₹249,"https://images-eu.ssl-images-amazon.com/images/I/41dkvETWzWL._AC._SR180,230.jpg","37,157"
39,"
            Zebronics Zeb-JUKEBAR 3900, 80W Multimedia soundbar with subwoofer Supporting Bluetooth, HDMI(ARC), Coaxial Input, AUX, USB & Remote Control (Black)
        ","₹1,699","https://images-eu.ssl-images-amazon.com/images/I/31rP8zoQBrS._AC._SR180,230.jpg","9,967"
40,"
            TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)
        ",₹229,"https://images-eu.ssl-images-amazon.com/images/I/31XO-wfGGGL._AC._SR180,230.jpg","82,695"
41,"
            Belkin Apple Certified Lightning to USB Charge and Sync Cable for iPhone, iPad, Air Pods, 3.3 feet (1 meters) – White
        ","₹3,099","https://images-eu.ssl-images-amazon.com/images/I/415hMS1FzgS._AC._SR180,230.jpg",631
42,"
            Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's
        ","₹7,299","https://images-eu.ssl-images-amazon.com/images/I/41Qr66LmrwL._AC._SR180,230.jpg","6,895"
43,"
            Dealfreez Case Compatible with Fire TV Stick 3rd Gen 2021 Full Wrap Silicone Remote Cover Anti-Lost with Loop (D-Black)
        ",₹599,"https://images-eu.ssl-images-amazon.com/images/I/41jxZkzNcnL._AC._SR180,230.jpg","2,502"
44,"
            Zoul USB C Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)
        ","₹14,499","https://images-eu.ssl-images-amazon.com/images/I/41fVP+e7CzS._AC._SR180,230.jpg","49,036"
45,"
            LOHAYA Universal AC Remote Compatible with LG AC Remote Control Model No :- AKB72955306 [ Compatible for LG Split AC Remote Control ] [AC-16]
        ","₹8,990","https://images-eu.ssl-images-amazon.com/images/I/41r6oj4GW-L._AC._SR180,230.jpg","5,480"
46,"
            BlueRigger High Speed HDMI to DVI Adapter Cable (3 Feet / 0.9 Meter)
        ",₹249,"https://images-eu.ssl-images-amazon.com/images/I/41V5FtEWPkL._AC._SR180,230.jpg","2,009"
47,"
            TATA SKY HD Connection with 1 month basic package and free installation
        ",₹69,"https://images-eu.ssl-images-amazon.com/images/I/21vDkRASXwL._AC._SR180,230.jpg","2,479"
48,"
            boAt Aavante Bar 1500 2.1 Channel Home Theatre Soundbar with 120W boAt Signature Sound, Wired Subwoofer, Multiple Connectivity Modes, Entertainment EQ Modes and Sleek Finish (Black)
        ","₹16,990","https://images-eu.ssl-images-amazon.com/images/I/51STyIbNXuL._AC._SR180,230.jpg",393
49,"
            EGate i9 Pro Full HD Projector with HD 720p native 2400 Lumens 210 ANSI, 120"" max Screen (3.04 m) | VGA, AV, HDMI, USB, SD (2 Year Warranty)|(EGi9) (Black)
        ","₹4,799","https://images-eu.ssl-images-amazon.com/images/I/31flGUWUY9L._AC._SR180,230.jpg",165
50,"
            Blaupunkt Germany's SBW100 120W Wired Soundbar with Subwoofer, Bluetooth and HDMI Arc
        ","₹1,199","https://images-eu.ssl-images-amazon.com/images/I/31Ly5Ge46jL._AC._SR180,230.jpg","13,943"
