Sr.No,GPU Name,Prices,link
88,ELDEN RING - PC [Steam Online Game Code] and EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card 12G-P5-3967-KR 12GB GDDR6X iCX3 Technology ARGB LED Metal Backplate,1247,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493854
89,"GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card, 3 x WINDFORCE Fans, 12GB 384-bit GDDR6X, GV-N3080EAGLE-12GD Video Card",1249,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080eagle-12gd/p/N82E16814932490?Item=N82E16814932490&Description=3080&cm_re=3080-_-14-932-490-_-Product
90,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX W-12GD,1254,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493962
91,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE AORUS GeForce RTX 3080 Video Card GV-N3080AORUSX WB-12GD,1254,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493957
92,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE VISION OC GeForce RTX 3080 Ti Video Card GV-N308TVISION OC-12GD,1254,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493964
93,PC Game Pass - 3 Month Membership US [Digital Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-O12G-GAMING,1269,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493397
94,PC Game Pass - 3 Month Membership US [Digital Code] and GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080EAGLE-12GD Video Card,1269,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493659
95,PC Game Pass - 3 Month Membership US [Digital Code] and EVGA GeForce RTX 3080 12GB XC3 BLACK GAMING Video Card 12G-P5-4861-KL 12GB GDDR6X iCX3 Cooling ARGB LED LHR,1279,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493660
96,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-O12G-GAMING,1288,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493197
97,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and GIGABYTE GeForce RTX 3080 EAGLE 12G Graphics Card 3 x WINDFORCE Fans 12GB 384-bit GDDR6X GV-N3080EAGLE-12GD Video Card,1288,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493571
